text,date,sentiment
"ranking college sg concerts for students week  (as a ?? na tatlo inattendan – pray for my wallet) and i hope walang ma-offend this is just a random persons expi
#1: kaleidoscope (cicssg) - sobra sobrang sobrang sobrang sulit lalo na for a student gov na bagong college lang (or bagong hiwalay?) nakakagulat talaga yung amount of booths na nagbebenta ng mga anik-anik whatever doon super naubos ang money + the lineup and the vibes were so good! 9/10 din yung mga inflatables nila! would be more fun if mas marami variety but goods na din !! overall i rate it a 10/10
#2: clachella (clacsg) - despite yung nakakaurat na ulan nagawa nila ang role nilang pagheheal ng inner child ng mga attendees nila (s/o sa mga chikiting sa naglaro sa ulan sana all !! ang cucute nio), andami din inflatables na natry tapos iba iba pa (pinaka bet ko yung nagtatalbugan kami ang laughtrip lang). na-discover ko din yung ajaa dito and OFC yung performance ng over october ay super solid din. 9/10 (9.5/10 kung di umulan) 
#3 Reverie/Chroma Blast (ceatsg): ngl i expected sm more from ceat given na isa sila sa pinaka-malaki ang budget. ang solid solid ng lineup though, i'll give them that yung performance ni zild ay pinaka-worth it na part ng concert. pero, kulang na kulang kami sa booths at inflatables. masaya din naman yung basaan concept pero nung bandang palubog na araw na medyo sinisipon na din dahil sa lamig HAHAHAHA so personally, it's a 7.5/10 for me (buhat ni zild)",4/3/24,
ang corny talaga ng college namin. CLAChella? How do you even read that?! Ang baduy yuck. Akala ko nagstop na sa brat ang kakornihan ng clacsg. Don't force a pun when it's not good ??,4/4/24,
"hala magbabasaan po pala sa CHROMA BLAST ng ceatsg? sana po mas naging malinaw, sana nag CLAChella nalang ako or Kaleidoscopes.",4/5/24,
hello po kay ian! ang galing galing mo po sumayaw! napaka angas ng aura mo nung nag perform ka sa clachella waaaaaah alam kong ayaw mo sa babae pero fudge crush na ata kita huhu sana manotice HDHAHAHAHSHS,4/6/24,
#NAME?,4/7/24,
"To ALL the photographers during the students week, specifically during Reverie and CLAChella:
Bakit po hindi lahat ng pictures yung officially inuupload sa FB? And kung maari po ba na maippost nyo po yung ibang pictures since gusto rin po namin makita yung mga pictures na baka nahaligap kami? If oo, pwede nyo nalang po i-comment para naka-compile po siya, pero if not, then bakit po? ?? eme lang! it's okay po, thank you pa rin po! 
Thank you so much po for understanding!!",4/8/24,
gusto ko sana umattend sa CLAChella kaso mukhang pang CLAC students lang siya.,4/9/24,
"Wala na po ba talagang problema nga taga CLAC? 
Tignan niyo listahan ng problema niyo sa buhay based dito sa FW THIS YEAR:
1. Pangit BRAT branding ng CLACSG dati
2. Pangit BRAT DP BLAST ng CLASSG dati. 
3. Corny daw name ng ""CLAChella"".
4. Baduy daw lineup ng clachella.
5.  Dapat orange CBAA kasi yellow CLAC. 
Wala ba kayong assessments na inintindi? Dami niyong problema na MEMA",4/10/24,
Does anyone know kung single yung naka orange skirt na sumayaw sa CLAChella?,4/11/24,
"HIII!!! ask ko lang if may on-site ticket selling ba for Non-DLSU-D yung CLAChella concert sa d-day/wednesday? huhuhu paanswer po asap plsplspls 
- frosh na gustong isama jowa niya at willing magpay para sa kaniya ??????",4/12/24,
